id,Jogo,Data,Adversário,Gols Pró,Gols Contra,Chances Criadas,Posse (%),Passes Totais,Passes Certos,Chutes,Chutes a Gol,Passes Totais (Oscar),Passes Certos (Oscar),Passes Decisivos (Oscar),Gols (Oscar),Assistências (Oscar),Pontuação SofaScore (Oscar),Chutes (Oscar),Oscar Jogou?,Passes Certos (%),Passes Certos (Oscar) (%),Passes Certos (SP X Oscar) (%),Participações Decisivas (Oscar),Aproveitamento (Oscar) (%),Gols Esperados (Oscar)
1,São Paulo X Guarani,2025-01-23,Guarani,1,0,4,54.0,531,451,12,3,41,35,3,0,0,7.6,0,Sim,84.9,85.4,7.8,3,0.0,0.0
2,Botafogo X São Paulo,2024-12-08,Botafogo,1,2,1,54.0,600,544,5,1,0,0,0,0,0,0.0,0,Não,90.7,0.0,0.0,0,0.0,0.0
3,Grêmio X São Paulo,2024-12-01,Grêmio,1,2,0,61.0,501,451,7,2,0,0,0,0,0,0.0,0,Não,90.0,0.0,0.0,0,0.0,0.0
4,São Paulo X Atlético-MG,2024-11-23,Atlético-MG,2,2,1,54.0,555,483,13,4,0,0,0,0,0,0.0,0,Não,87.0,0.0,0.0,0,0.0,0.0
5,São Paulo X Juventude,2024-12-04,Juventude,1,2,0,69.0,605,543,10,2,0,0,0,0,0,0.0,0,Não,89.8,0.0,0.0,0,0.0,0.0
6,São Paulo X RB Bragantino,2024-11-20,RB Bragantino,1,1,3,43.0,339,274,18,5,0,0,0,0,0,0.0,0,Não,80.8,0.0,0.0,0,0.0,0.0
7,São Paulo X Athletico-PR,2024-11-09,Athletico-PR,2,1,4,78.0,653,588,10,3,0,0,0,0,0,0.0,0,Não,90.0,0.0,0.0,0,0.0,0.0
8,Bahia X São Paulo,2024-11-05,Bahia,3,0,2,48.0,416,361,9,4,0,0,0,0,0,0.0,0,Não,86.8,0.0,0.0,0,0.0,0.0
9,Criciúma X São Paulo,2024-10-26,Criciúma,1,1,1,69.0,659,588,16,3,0,0,0,0,0,0.0,0,Não,89.2,0.0,0.0,0,0.0,0.0
10,São Paulo X Corinthians,2025-01-26,Corinthians,3,1,2,44.0,440,372,12,5,56,49,2,1,1,8.7,1,Sim,84.5,87.5,13.2,4,50.0,1.0
11,Portuguesa-SP X São Paulo,2025-01-29,Portuguesa-SP,2,1,7,58.0,414,334,13,4,0,0,0,0,0,0.0,0,Não,80.7,0.0,0.0,0,0.0,0.0
12,Santos X São Paulo,2025-02-01,Santos,1,3,3,60.0,449,370,11,4,67,59,1,0,0,7.98,0,Sim,82.4,88.1,15.9,1,0.0,0.0
13,São Paulo X Mirassol,2025-02-05,Mirassol,4,1,6,57.0,537,477,16,7,74,70,3,1,1,8.7,2,Sim,88.8,94.6,14.7,5,40.0,0.5
